MYDATE,HOUR,NODE_ID,MW
1/1/2012,1,N1,2.78994586
1/1/2012,1,S1,-3.860853503
1/1/2012,1,Z1,-0.675159236
1/1/2012,2,N1,2.785633758
1/1/2012,2,S1,-3.788318471
1/1/2012,2,Z1,-0.675159236
1/1/2012,3,N1,2.786
1/1/2012,3,S1,-3.887990446
1/1/2012,3,Z1,-0.67611465
1/1/2012,4,N1,2.785964968
1/1/2012,4,S1,-4.119671975
1/1/2012,4,Z1,-0.70066879
1/1/2012,5,N1,2.790324841
1/1/2012,5,S1,-4.828436306
1/1/2012,5,Z1,-0.702353503
1/1/2012,6,N1,2.788649682
1/1/2012,6,S1,-5.092977707
1/1/2012,6,Z1,-0.706050955
1/1/2012,7,N1,2.776550955
1/1/2012,7,S1,-3.989248408
1/1/2012,7,Z1,-0.694818471
1/1/2012,8,N1,5.009859873
1/1/2012,8,S1,110.8496815
1/1/2012,8,Z1,16.60564331
1/1/2012,9,N1,19.05497452
1/1/2012,9,S1,423.3366401
1/1/2012,9,Z1,105.3736465
1/1/2012,10,N1,42.29682166
1/1/2012,10,S1,667.3557739
1/1/2012,10,Z1,187.4399968
1/1/2012,11,N1,59.96922293
1/1/2012,11,S1,767.1083917
1/1/2012,11,Z1,222.8696752
1/1/2012,12,N1,65.16671338
1/1/2012,12,S1,782.8333981
1/1/2012,12,Z1,228.8030382
1/1/2012,13,N1,72.87269745
1/1/2012,13,S1,783.0175064
1/1/2012,13,Z1,228.2795541
1/1/2012,14,N1,77.96480892
1/1/2012,14,S1,691.598086
1/1/2012,14,Z1,225.1550892
1/1/2012,15,N1,66.21794268
1/1/2012,15,S1,567.2730892
1/1/2012,15,Z1,135.2160223
1/1/2012,16,N1,31.78052548
1/1/2012,16,S1,333.8474013
1/1/2012,16,Z1,48.85111146
1/1/2012,17,N1,5.823359873
1/1/2012,17,S1,45.68009873
1/1/2012,17,Z1,6.778958599
1/1/2012,18,N1,3.076178344
1/1/2012,18,S1,-4.087063694
1/1/2012,18,Z1,-0.710267516
1/1/2012,19,N1,3.091958599
1/1/2012,19,S1,-3.865595541
1/1/2012,19,Z1,-0.66956051
1/1/2012,20,N1,3.092028662
1/1/2012,20,S1,-3.818570064
1/1/2012,20,Z1,-0.659458599
1/1/2012,21,N1,3.090436306
1/1/2012,21,S1,-3.829866242
1/1/2012,21,Z1,-0.675159236
1/1/2012,22,N1,3.089799363
1/1/2012,22,S1,-3.704152866
1/1/2012,22,Z1,-0.675159236
1/1/2012,23,N1,3.087535032
1/1/2012,23,S1,-3.729853503
1/1/2012,23,Z1,-0.675159236
